input_text,target_text
وہ اگر اپنے علاوہ کسی کی بہادری کا ذکر کرتے ہیں۔,یہی چاند ہے کلاں میں بھی ہے
سال میں پہلی بار,اس نے غم کی وجہ سے چار دن سے کھانا نہیں کھایا
نہ ایک‘ نہ دوسرے کے پاس جواب تھا۔,رات وہاں گزاریں گے ۔
نبی رحمت حضرت محمد مصطفی صلی اللہ علیہ وسلم پر ہزاروں درود و سلام,جس کی بنیاد پر
جامو,اور ہمارا ایمان ہے کہ چاہے کوئی بھی مسئلہ ہو اسکا حل ادھر موجود ہے
پروازوں پر سلامتی کا اعلی معیار فراہم کیا جارہا ہے,کے سن پیدائش کی سب سے ہٹ فلم
اسلام آبادنیو زڈیسک مشہور ٹیکنالوجی گلیکسی سامسنگ نے نیند میں چلنے والے مریض کی نگرانی کیلئے والکنگ سسٹم رجسٹرڈ کرایا ہے,مجھے نہیں معلوم۔
آذربائیجان کا معیاری وقت,سرفراز احمد نے پانچ ٹیسٹ سیریز میں
جھنڈے کے درمیان میں قوس و قزح بنی ہے,اپنی صحت کا خیال رکھتے ہیں
ورنہ قادری صاحب تو کرہی رہے ہیں۔,جو نمائشی اسلامی قوانین ہمارے ہیں۔
کہ خدا اپنی مخلوق کے کسی فرد اور اپنے گلے کی کسی بھیڑ سے غافل ہوتا ہے,یہ سلسلہ تو بہت پہلے رکنا چاہیے۔
ایک عرصے سے ہمارے علما کے ہاں اس دوسرے موقع استعمال کا غلبہ ہو گیا ہے,یہاں پہ بھی کچھ ایسا ہی معاملہ ہے۔
پیر صاحب نے دوگھر بنا رکھے ہیں۔,طالب علموں کا قیام و طعام اور تحقیق کا خرچ حکومت اٹھاتی ہے
وہ اب سب پہ عیاں ہے۔,نوٹ بک کے بعد ان سے بھی مختصر کمپیوٹرز پام ٹوپ کے نام سے متعارف ہوئے
اورنتائج کیا ہوں۔,اس سے پہلے اس کی حیثیت محض ایک رائے کی ہوگی
رینکنگ بھی اس کی دلیل ہے۔,انگلینڈنے اپنے ہزارویں ٹیسٹ میچ کو جیت کریادگار بنا دیا
پھر ہر کوئی وابستگی کے اظہار میں مبالغہ کرتا ہے۔,سب کو حیران کر دیا ہے۔
مذاکرتی کمیٹیوں کے بارے میں بھی مسلسل ابہام ہے۔,بہت سی چیزوں میں دلچسپی رکھتا ہوں
محترم جنرل حمید گل صاحب کی سیاسی فقہ میں ممکن ہے۔,پنجرہ کھلا ہے۔
اوہ گاہے بگاہے مجھے خط لکھتا ہے,یہی معاملہ پیپلزپارٹی کا بھی ہے۔
وہ افواج پاکستان کا سپریم کمانڈر ہے۔,وہاں مظالم رہیں گے۔
اللہ کے ولی تمام رات عبادت میں گزار دیتے تھے,درمیان میں بینکوں کی کمائیاں کم ہوئیں تھیں
عالمی بینک نے پنجاب میں بپاشی کی بہتری کیلئے قرضے کی منظوری دے دی,لیکن یہ کس کا قصور ہے نواز شریف اور زرداری کا
اکثر غمگین ہو جاتا ہوں,وہ پاکستانی ڈرامے جو اپ کو دیکھنے چاہئیں
چین کا پورا مطالعہ تو پہلے کر لیں۔,ٹھیک ہو رہا ہے۔
عظیم جرمن شاعر ہے,جس سے کدورت میں اور بھی اضافہ ہوتا ہے
وہ پلاسٹک ہے۔,جتنے قومی اسمبلی کے منتخب رکن ہیں۔
جب کہ دانش تیمور احسن خان معمر رانا,گلوبل وارمنگ کا آج کل تذکرہ عام
یہ دیرپا عمل ہے۔,رینکنگ بھی اس کی دلیل ہے۔
بڑے تو اس کام میں مہارت رکھتے تھے۔,کبھی مئی میں گئے تو امید ہے۔
یہاں کا پانی بہت ٹھنڈا تھا ۔,آیوشمان نے فلموں
ہوا کہ اقوام متحدہ کو پہلی بار کشمیرمیں انسانی حقوق,عرفان خان اور سونالی بیندر ے
سو یہ سرفراز ہی نہیں,سورۂ زخرف کی آیت سے واضح ہو جاتا ہے
چکھتے ہی سب اس پر ٹوٹ پڑے,جسے پیش کر رہی ہیں
ہمیں محض اسے سمجھنے کی ضرورت ہے,میں اور جاؤں در سے ترے بن صدا کیے
دوسرا یہ کہ اس سے مراد اداروں میں تصادم نہیں ہے۔,تو قانون کا۔
سڑک بلاک نہ کی۔,اور جنہیں متبادل قرار دیا جا رہا ان کے خود تبدیل ہونے کا وقت آ گیا ہے ۔
